中文字詞,英文字詞,出現頻率,負責單位
食品衛生危害,food sanitation hazards,2,
加工廠,process plant,2,
食品安全衛生法,Act Governing Food Safety and Sanitation,2,
歐盟法規,Union requirements,2,
(EC) 854/2004 號規則,Regulation (EC) No 854/2004,2,
加工蛋品,processed egg products,2,TFDA
分離生產系統,split system,2,TFDA
隔離生產系統,segregated production system,2,TFDA
授權／核准號碼,Authorisation/approval Number,2,
封存,sealed,2,2科)、食藥署(食品組1科
輸出衛生證明書,export health certificate,2,動植物防疫檢疫局
出口證明文件,export certificate,2,
檢驗機構,inspection agency institution,2,
微生物檢驗,microbiological inspection,2,
衛生管理措施,practices of sanitation management,2,
食品安全及衛生法規,food safety and sanitation laws,2,食藥署
法規實施,regulation implementation,2,食藥署
地方農業主管機關,agricultural competent authority at the local level,2,防檢署
食品安全管制小組,food safety HACCP team,2,
蛋類加工廠,egg processing plants,2,
畜牧場,animal farms,2,防檢署、食藥署(中區管理中心)
加工食品,processed food,2,
包裝中心,packing centre,2,
蛋製品加工,egg product processing,2,
冷藏庫,cold store,2,
鵪鶉蛋,Quail egg,2,
雞蛋,Chicken egg,2,
滷蛋,stewed egg,2,
水煮雞蛋,Hard Boiled Chicken Eggs,2,
國家監視與監測計畫,national surveillance and monitoring programme,2,
不合格結果,non-compliance results,2,
高關注化學物質,high priority chemicals of public health concerns,2,
進口食品,Import Foods,2,
證明文件,certification documents,2,
食品邊境查驗管理,food border inspection management,2,TFDA
工廠管理輔導法,Factory Management Act,2,漁業署、食品組
漁業執照,fishery license,2,漁業署、食品組
船舶檢查證書,ship inspection certificate,2,漁業署、食品組
技術助理／查核員,technical assistants/ inspectors,2,
認證計畫,accreditation scheme,2,
海關專屬貨品分類號列,customs commodity code and classification,2,三區管理中心、食品組2科
農藥殘留,pesticides,2,中區管理中心、防檢署
水生生物物種,hydrobiological species,2,
英國 SPS 貿易保證辦公室,UK Office for SPS Trade Assurance,2,
最大殘留限量,Maximum Residue Limits (MRLs),2,TFDA
處方藥品,prescription drugs,2,漁業署、防檢署
衛生管制,sanitary control,2,漁業署
飼料,feed,2,漁業署
飼料添加物,feed additives,2,漁業署
食品分析方法,food related analytical methods,2,
法規要求,regulatory requirements,2,防檢署
後市場蛋品殘留物監測計畫,post-market residue monitoring plan for egg products,2,
樣本數,number of samples,2,中區管理中心、防檢署
輸銷美國加熱全熟肉品衛生安全取樣分析作業指南,Guidelines on the Procedures for the Sampling Operation Required for Environmental Sampling,2,防檢局
病原菌,pathogen,2,
李斯特菌屬,Listeria spp.,2,
後殺菌處理方法,post-lethality treatment (PLT),2,防檢局
包裝食品,prepackaged food,2,
營養標示,nutrition label,2,
認證範圍,scopes of accreditation,2,
查核與檢驗專案,Examination and Testing Projects,2,
縣（市）衛生局,County/City Health Bureaus,2,
蛋類,egg,2,
防腐劑,preservatives,2,
李斯特菌,Listeria,2,
即食食品,Ready-To-Eat Product (RTE),2,
可採取行動的殘留物,actionable residue,2,
進口複檢,import re-inspection,2,
動物性來源之產品,products of animal origin,2,
乳品原料,dairy raw materials,2,
奶粉,milk powder,2,
奶油,butter,2,
乾酪,cheese,2,
食品組,Food Safety,2,
生產食品之動物,food producing animals,2,
官方分析方法,official analytical methods,2,北區管理中心、漁業署、監管組
委員會指令 96/23/EC,Council Directive 96/23/EC,2,
檢測的物質清單,list of substances to be detected,2,
篩選和確認方法,screening and confirmatory methods,2,
分析偵測極限,analytical limits of detection,2,
國家制定限量,national tolerances,2,
最大殘留限量,MRL,2,
肉品衛生,meat hygiene,2,
台灣食品藥物管理署,TFDA,2,
中央衛生當局,central sanitary authorities,2,防檢署、食藥署(食品組)
食品廠,food factories,2,TFDA
採樣率,sampling rates,2,
農產品生產及驗證管理法,Agricultural Production and Certification Act,2,漁業署
中央主管機關,Central Competent Authority,2,漁業署
國家動物產業基金會,National Animal Industry Foundation (NAIF),2,APHIA
執委會授權條例,Commission Delegated Regulation,2,
後市場殘留物監控計畫,post-market residue monitoring plan,2,
肉類和肉製品,meat and meat products,2,
食品安全控制,Food safety control,2,
殘留物監測計畫,Residue Control Plan (RCP),2,防檢署
動物用藥殘留量,veterinary drugs residue,2,
國家微生物監測計畫,national microbiological monitoring program,2,食品藥物管理署
畜牧法,Animal Industry Act,2,
病蟲害管制,pest control management,2,
溯源調查,traceback investigation,2,食品組5科
之後市場取樣計畫,post-market sampling plans,2,
包裝,packaging,2,
動物傳染病防治條例,Statute for Prevention and Control of Infectious Animal Diseases,2,防檢局、防檢署
檢疫證明書,veterinary certificates,2,BAPHIQ、防檢局
未去除內臟冷凍冷藏魚產品,frozen/chilled uneviscerated fish products,2,防檢局
輸出食品,exported food products,2,
食品業,food businesses,2,食藥署(食品組)
輸入查驗,import inspection,2,
食品類別,food categories,2,
產乳牧場,milk production holdings,2,
加工廠,processing establishments,2,
衛生管理人員,sanitation managers,2,
食品衛生管理,food sanitation management,2,
蛋製品,egg product,2,中區管理中心、防檢署
蛋雞場,laying hen farms,2,BAPHIQ
不合格,nonconformity,2,
飼料廠,feed factories,2,
生產輸銷美國加熱肉品食品工廠監督管理要點,Directions for Auditing Establishments Producing Heat Treated Meat Products for the United States Market,2,防檢局
政府檢查員,government inspectors,2,防檢局
衛生管理紀錄,sanitation management records,2,
國貿局,Bureau of Foreign Trade,2,防檢局
工廠管理法,Factory Management Act,2,
CFIA,CFIA,2,
活雙枚貝類,live bivalve molluscs,2,
衛生管理,sanitary control,2,防檢署、食藥署
動物用藥品,veterinary drug,2,
產品標示,product labeling,2,
加工肉製品,processed meat products,2,
不合規結果,non-compliant results,2,
流通,distribution,2,
後市場監測計畫,post-market surveillance programs,2,
供動物食用食品,food for animal consumption,2,
殘留分析,residues analysis,2,
加工廠,processing premises,2,
球蟲藥,coccidiostats,2,防檢署
殘留控制計畫,residue control plan,2,
奶粉,milk powders,2,
巧克力,chocolate,2,
發芽種子,sprouting seeds,2,
萵苣,lettuce,2,
輸銷美國,Intended for Export to the United States,2,
殺菌,sterilization,2,
輸入港查驗,port-of-entry inspection,2,Administration、Centers、Regional、for、區域管理中心
食品衛生安全管理之主管機關,competent authority of food safety and sanitation management,2,
回收或銷毀,recalled or destroyed,2,
輸出國,countries where the products export to,2,
肉類加工廠,meat processing establishments,2,
腸衣,casings,2,
第37/2010號法規,Regulation (EU) No 37/2010,2,
食品工廠,food plant,2,
CODEX 國際食品標準,CODEX- International Food Standards,2,中區管理中心、品質監督管理組
食品衛生安全管理系統,Food Sanitation and Safety Management System,2,
地方動物防疫機關,LADIAs,2,APHIA、防檢署
不合格產品,non-conforming products,2,TFDA
驗證,validated,2,畜產
委員會條例,Commission Regulation,2,畜產
食品法典準則,Codex Alimentarius guidelines,2,畜產
化學物,chemicals,2,
進口國規範,importing countries' requirements,2,標準局
藥用飼料,medicated feedingstuffs,2,
SPS 協定,SPS Agreement,2,
MRL,MRL,2,
國產食品,domestic samples,2,
商品,commodity,2,
食品安全監測計畫,Food Safety Monitoring Plan,2,
最大殘留容許量,maximum residue limits,2,
追溯系統,traceability system,2,
地方政府衛生局,local governments and health bureaus,2,食品藥物管理署
畜牧,livestock,2,
動物用藥品分銷鏈,distribution chain of veterinary medicines,2,防檢署
動物用藥品優良製造準則,Guidelines of Good Manufacture Practice (GMP) for Veterinary Drugs Manufacturers,2,
動物用藥品製造廠設廠標準,Establishment Standards for Veterinary Drugs Manufacturers,2,
食用蛋,table eggs,2,
乳製品,dairy product,2,
食品安全管制系統,Food Safety Control System (HACCP),2,
農業委員會,Council of Agriculture,2,BAPHIQ
官方證明,official certificates,2,
食品標示與廣告,food labelling and advertisement,2,TFDA
食品查核與管制,food examination and control,2,TFDA
油類,Oil,2,TFDA
午餐餐盒食品,Lunch box food,2,TFDA
丹麥豬肉,Danish pork,2,TFDA
荷蘭豬肉／豬油,Dutch pork / lard,2,TFDA
挪威水產品,Norwegian aquatic products,2,TFDA
匈牙利豬肉,Hungarian pork,2,TFDA
食品與營養標示,Food and Nutrition Labelling,2,TFDA
動物和動物產品,animals and animal products,2,
上市後監測計畫,post-market survelliance program,2,
動物用藥殘留監測計畫,national residue monitoring program for animal products,2,食藥署
食品衛生,food hygiene,2,
完整成分清單,full ingredient listing,2,TFDA
肉類,meat products,2,
牛來源食品,products of bovine origin,2,
出口產品,export food products,2,
國家耐受限度,national tolerance limits,2,
食品企業經營者,food business operators,2,
托運,consignment,2,
藥物扣留期,drug withholding period,2,
停藥期,drug withdrawal period,2,
藥品組,Division of Medicinal Products,2,
醫療器材及化粧品組,Division of Medical Devices & Cosmetics,2,
世界貿易組織衛生與植物衛生措施協定,WTO/SPS,2,
查核與檢驗,Examination and Testing Projects,2,
官方服務,official services,2,
財團法人全國認證基金會,Taiwan Accreditation Foundation,2,
殘留物監控計畫,control plan for residues,2,
可食用動物組織,edible animal tissues,2,
最大殘留量,Maximum Residue Limit (MRL),2,
抗球蟲劑,coccidiostats,2,
硝基呋喃類,Nitrofurans,2,防檢署
樣品處理,Sample handling,2,防檢署、食藥署(中區管理中心)
食品相關實驗室網絡,food related laboratories network,2,
地方政府衛生局,local health authorities,2,
農政機關,agricultural authority,2,TFDA
食品檢驗,food examination,2,TFDA
海平面漁業,Sea-level fishery,2,漁業署
衛生福利部食品藥物管理署,"Taiwan Food and Drug Administration (TFDA), Ministry of Health and Welfare",2,衛生福利部食品藥物管理署、食藥署
動物源原料,raw material of animal origin,2,
食品安全監測計畫,food safety monitoring plans,2,
第三方驗證體系,third party certification bodies,2,
食品良好衛生規範準則,Regulation on Good Hygienic Practice (GHP),2,
食品衛生安全管理,food hygiene and safety management,2,防檢署、食藥署
肉類加工,meat processing,2,
寵物食品,pet food,2,
動物皮,animal hides,2,
肉製品工廠,Meat product processing plants,2,
天然毒素,natural toxin,2,
輸入或輸出,import or export,2,
食品安全管制系統,Regulations on Food Safety Control System,2,
動物產品或副產品,animal products or by-products,2,
豬肉產品,pork products,2,TFDA
檢測,testing,2,
線上市場監測,online market surveillance,2,
疾病控制,disease control,2,
人道對待,humane handling,2,
獸醫生物製劑,veterinary biologics,2,
分離的生產系統,segregated production system,2,
獸用藥物殘留,veterinary drug residues,2,
蛋,hen eggs,2,
歐盟市場,EU market,2,
加工衛生證明,MANUFACTURED SANITARY CERTIFICATE,2,TFDA
後市場查驗,post-market inspections,2,
MRL,MRLs,2,
ML,MLs,2,
出口前殘留物檢測,pre-export testing for residues,2,
動植物檢疫證明,certificate issued for animal and plant quarantined,2,
指令 96/23/EC,Council Directive 96/23/EC,2,
偵測限,limits of detection,2,
歐盟委員會法規 (EU) No 37/2010,Commission Regulation (EU) No 37/2010,2,
蛋製品加工廠,establishments producing egg products,2,
衛生管理者,sanitation managers,2,
不合規,non-compliance,2,三區管理中心、漁業署、防檢署
後市場檢驗與稽查,post-market testing and inspection,2,
分切廠,cutting plants,2,
戴奧辛,dioxin,2,TFDA
等效性評估,equivalence assessment,2,
採樣及檢驗,sampling and testing,2,防檢署、食藥署(中區管理中心)
經核准之業者,approved establishments,2,TFDA、The
軟體體動物,molluscan shellfish,2,TFDA、The
歐盟核准之業者,EU-approved establishments,2,BSMI、The
